Date,Timestamp,Filename,TopLeftX,TopLeftY,BottomRightX,BottomRightY,Confidence
2017-05-17,2000-01-01 08:03:18.144,2017-05-17 08-03-18.144.jpg,507,32,1121,684,0.873394250869751
2017-05-17,2000-01-01 08:03:18.631,2017-05-17 08-03-18.631.jpg,455,30,1064,679,0.7591566443443298
2017-05-17,2000-01-01 08:03:18.631,2017-05-17 08-03-18.631.jpg,1034,0,1264,719,0.6226053237915039
2017-05-17,2000-01-01 08:03:19.044,2017-05-17 08-03-19.044.jpg,477,28,1170,695,0.7972558736801147
2017-05-17,2000-01-01 08:03:19.509,2017-05-17 08-03-19.509.jpg,533,37,1164,684,0.8156512379646301
2017-05-17,2000-01-01 08:03:19.934,2017-05-17 08-03-19.934.jpg,510,49,1165,674,0.8394365310668945
2017-05-17,2000-01-01 08:03:20.999,2017-05-17 08-03-20.999.jpg,279,0,1013,699,0.7414546012878418
2017-05-17,2000-01-01 08:03:21.419,2017-05-17 08-03-21.419.jpg,319,2,1142,698,0.5889288783073425
2017-05-17,2000-01-01 08:03:21.840,2017-05-17 08-03-21.840.jpg,377,25,1134,702,0.8047966361045837
2017-05-17,2000-01-01 08:03:22.659,2017-05-17 08-03-22.659.jpg,526,37,1184,674,0.7740063071250916
2017-05-17,2000-01-01 08:03:23.066,2017-05-17 08-03-23.066.jpg,565,26,1143,701,0.7785542011260986
2017-05-17,2000-01-01 08:03:23.488,2017-05-17 08-03-23.488.jpg,550,27,986,694,0.5430402755737305
2017-05-17,2000-01-01 08:03:23.960,2017-05-17 08-03-23.960.jpg,557,22,953,680,0.7451491951942444
2017-05-17,2000-01-01 08:03:24.377,2017-05-17 08-03-24.377.jpg,550,38,998,683,0.7321032285690308
2017-05-17,2000-01-01 08:03:24.787,2017-05-17 08-03-24.787.jpg,571,14,1054,698,0.7887027263641357
2017-05-17,2000-01-01 08:03:25.202,2017-05-17 08-03-25.202.jpg,556,14,1055,704,0.7141876816749573
2017-05-17,2000-01-01 08:03:25.807,2017-05-17 08-03-25.807.jpg,529,28,1003,691,0.6882599592208862
2017-05-17,2000-01-01 08:03:26.228,2017-05-17 08-03-26.228.jpg,576,25,1030,690,0.581064760684967
2017-05-17,2000-01-01 08:03:26.627,2017-05-17 08-03-26.627.jpg,453,30,1066,684,0.7737233638763428
2017-05-17,2000-01-01 08:03:27.034,2017-05-17 08-03-27.034.jpg,402,17,1120,712,0.6721764206886292
2017-05-17,2000-01-01 08:03:27.835,2017-05-17 08-03-27.835.jpg,311,0,1164,714,0.5326318740844727
2017-05-17,2000-01-01 08:03:28.247,2017-05-17 08-03-28.247.jpg,369,17,1121,705,0.8144736886024475
